feature,coefficient,abs_coef
slope_10y_1y,-0.21153978603036672,0.21153978603036672
slope_10y_2y,0.1672934109625348,0.1672934109625348
curvature_5y,0.05954599693347706,0.05954599693347706
y_1y,0.050901345738381565,0.050901345738381565
y_10y,-0.04506452038719999,0.04506452038719999
delta_ks_3m,0.036242937816380355,0.036242937816380355
cbr_rhetoric_score,0.02578601754286107,0.02578601754286107
real_rate_ma3,-0.019024178271985437,0.019024178271985437
y_5y,0.018184460144382797,0.018184460144382797
n_hikes_3m,-0.013759329906793183,0.013759329906793183
inflation_yoy,-0.009517417066614353,0.009517417066614353
real_rate_change_3m,-0.007232857777241475,0.007232857777241475
delta_ks_6m,-0.007191239993226822,0.007191239993226822
is_crisis,0.0065364060231425936,0.0065364060231425936
ruonia,-0.006075783961025927,0.006075783961025927
key_rate,-0.005914109768456799,0.005914109768456799
cycle_phase,-0.005289752311368544,0.005289752311368544
delta_ks_1m,0.0036306624923544625,0.0036306624923544625
ruonia_spread_ma3,-0.002949076290789651,0.002949076290789651
real_rate,0.002563117735207676,0.002563117735207676
brent_ret_1m,-0.002477576961804651,0.002477576961804651
n_cuts_3m,0.00191501264418,0.00191501264418
ruonia_spread,-0.0017587772309688998,0.0017587772309688998
weeks_since_change,0.0002562566069238964,0.0002562566069238964
