fold,train_end,val_start,val_end,n_train,n_val,DA,MAE,R2
1,2017-04-21,2017-09-01,2018-02-23,156,26,0.1538,0.0981,-29.6956
2,2017-10-20,2018-03-02,2018-08-24,182,26,0.9615,0.03775,-4.0932
3,2018-04-20,2018-08-31,2019-02-22,208,26,0.0,0.13028,-298.5201
4,2018-10-19,2019-03-01,2019-08-23,234,26,0.0,0.08994,-416.6776
5,2019-04-19,2019-08-30,2020-02-21,260,26,0.1923,0.09016,-9.7669
6,2019-10-18,2020-02-28,2020-08-21,286,26,0.5769,0.03749,-0.6314
7,2020-04-17,2020-08-28,2021-02-19,312,26,0.8462,0.01847,-0.2079
8,2020-10-16,2021-02-26,2021-08-20,338,26,0.8462,0.03826,-1.2603
9,2021-04-16,2021-08-27,2022-02-18,364,26,0.7692,0.05574,-0.2208
10,2021-10-15,2022-02-25,2022-09-09,390,26,0.6923,0.09159,-1.38
11,2022-05-06,2022-09-16,2023-03-10,416,26,0.1923,0.08531,-54.282
12,2022-11-04,2023-03-17,2023-09-08,442,26,0.0,0.11112,-18.7477
13,2023-05-05,2023-09-15,2024-03-08,468,26,0.3846,0.08706,-2.9695
14,2023-11-03,2024-03-15,2024-09-06,494,26,0.3846,0.08996,-7.2017
15,2024-05-03,2024-09-13,2025-03-07,520,26,0.6538,0.03044,-0.2192
16,2024-11-01,2025-03-14,2025-09-05,546,26,0.4231,0.04066,-0.0947
